Zone,Building Type,Level,CurretBuilding#,AppraiseValue,RetrofitCost,ValuebyLevel,TotalLoss,BuildingLoss
Z1,W2,1,0,239016,0,239016,31299,23355
Z1,W2,2,2000,239016,0.01,241406.16,29231,21414
Z1,W2,3,0,239016,0.05,250966.8,20373,15212
Z1,W2,4,0,239016,0.08,258137.28,15083,11381
Z1,W3,1,0,318816,0,318816,41748,31153
Z1,W3,2,0,318816,0.01,322004.16,38991,28564
Z1,W3,3,50,318816,0.05,334756.8,27174,20291
Z1,W3,4,0,318816,0.08,344321.28,20118,15181
Z1,W4,1,0,239016,0,239016,31299,23355
Z1,W4,2,2196,239016,0.01,241406.16,29231,21414
Z1,W4,3,0,239016,0.05,250966.8,20373,15212
Z1,W4,4,0,239016,0.08,258137.28,15083,11381
Z2,W1,1,767,139426,0,139426,18512,14908
Z2,W1,2,0,139426,0.01,140820.26,18623,14675
Z2,W1,3,0,139426,0.05,146397.3,9016,6555
Z2,W1,4,0,139426,0.08,150580.08,6292,4648
Z2,W2,1,0,239016,0,239016,25701,19301
Z2,W2,2,700,239016,0.01,241406.16,23802,17523
Z2,W2,3,0,239016,0.05,250966.8,16390,12310
Z2,W2,4,0,239016,0.08,258137.28,12026,9145
Z2,W4,1,0,239016,0,239016,25701,19301
Z2,W4,2,800,239016,0.01,241406.16,23802,17523
Z2,W4,3,0,239016,0.05,250966.8,16390,12310
Z2,W4,4,0,239016,0.08,258137.28,12026,9145
Z3,W1,1,300,139426,0,139426,17083,13748
Z3,W1,2,0,139426,0.01,140820.26,17205,13542
Z3,W1,3,0,139426,0.05,146397.3,8338,6073
Z3,W1,4,0,139426,0.08,150580.08,5793,4289
Z3,W2,1,0,239016,0,239016,23991,18059
Z3,W2,2,300,239016,0.01,241406.16,22149,16336
Z3,W2,3,0,239016,0.05,250966.8,15193,11435
Z3,W2,4,0,239016,0.08,258137.28,11116,8477
Z3,W4,1,0,239016,0,239016,23991,18059
Z3,W4,2,200,239016,0.01,241406.16,22149,16336
Z3,W4,3,0,239016,0.05,250966.8,15193,11435
Z3,W4,4,0,239016,0.08,258137.28,11116,8477
Z4,W1,1,2567,139426,0,139426,24471,19755
Z4,W1,2,0,139426,0.01,140820.26,24492,19383
Z4,W1,3,0,139426,0.05,146397.3,11838,8553
Z4,W1,4,0,139426,0.08,150580.08,8400,6160
Z4,W2,1,0,239016,0,239016,32674,24350
Z4,W2,2,1000,239016,0.01,241406.16,30570,22372
Z4,W2,3,0,239016,0.05,250966.8,21366,15934
Z4,W2,4,0,239016,0.08,258137.28,15852,11941
Z4,W5,1,25,3918960,0,3918960,687840,555257
Z4,W5,2,0,3918960,0.01,3958149.6,688414,544825
Z4,W5,3,0,3918960,0.05,4114908,332730,240418
Z4,W5,4,0,3918960,0.08,4232476.8,236104,173145
Z5,W1,1,1856,139426,0,139426,20841,16800
Z5,W1,2,0,139426,0.01,140820.26,20924,16517
